text,intent,split
"you need to call the melt in lakewood for a table for at 2:00, monday, the first week in march",restaurant_reservation,train
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",restaurant_reservation,train
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",restaurant_reservation,train
"listen i need to get a reservation for , me and teresa at georgetown cafe on tuesday at 7:00 pm",restaurant_reservation,train
can you make me a reservation for 4 pm on the 22nd at ruth's,restaurant_reservation,train
i need a reservation at 8 on the 22nd of november at ruth's,restaurant_reservation,train
can i make a reservation for 6 pm on the 21st at sidetracks,restaurant_reservation,train
please reserve me a table at hell's kitchen on may 3rd at 8 pm,restaurant_reservation,train
please reserve me a table for 2 pm at maxwell's on the 14th,restaurant_reservation,train
can you make a reservation for me at the restaurant,restaurant_reservation,train
can you make a reservation at the restaurant for tomorrow,restaurant_reservation,train
can you book a table at the restaurant for me and my husband,restaurant_reservation,train
can you make a reservation at the restaurant for tonight,restaurant_reservation,train
can you get me a table for 6 at mark's at 11am,restaurant_reservation,train
can you get me a table for 1 at the vega at 1pm,restaurant_reservation,train
can you get a table for 5 at joe's at 5pm,restaurant_reservation,train
can you get me a table for 3 at captain d's at 2pm,restaurant_reservation,train
can you get me a table for 2 at mexico viejo at 3pm,restaurant_reservation,train
can you get me a table for 2 at diablo,restaurant_reservation,train
can you get me a table for 5 at johnnys,restaurant_reservation,train
can you get me a table for 8 at johnnys,restaurant_reservation,train
can you get me a table for 6 at johnnys,restaurant_reservation,train
can you get me a table for 4 at steve's,restaurant_reservation,train
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm,restaurant_reservation,train
reserve a table for 4 at red lobster under the name dave at 7:30pm,restaurant_reservation,train
reserve a table for 6 at morton's under the name jaime at 8:30pm,restaurant_reservation,train
can you get me a table for 3 at olive garden at 7pm,restaurant_reservation,train
book a reservation for 6 at shakey's under the name jason,restaurant_reservation,train
reserve a table for 5 at lawry's under the name steve at 8:00pm,restaurant_reservation,train
book a reservation for 5 at lawry's under the name chris,restaurant_reservation,train
reserve a table for 2 at olive garden under the name jim at 6:00pm,restaurant_reservation,train
book a reservation for 4 at outback steakhouse under the name dave,restaurant_reservation,train
can you get me a table for 5 at outback steakhouse at 6:30pm,restaurant_reservation,train
book a reservation for 3 at red lobster under the name steve,restaurant_reservation,train
book a reservation for 2 at olive garden under the name jim,restaurant_reservation,train
can you get me a table for 8 at mastro's at 8:30pm,restaurant_reservation,train
can you get me a table for 4 at red lobster at 8pm,restaurant_reservation,train
can you get me a table for 6 at lawry's at 7:30pm,restaurant_reservation,train
is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation,train
can you get me a table for 5 at mcdonalds at 5pm,restaurant_reservation,train
give me a table for 3 at o'reilly's bar for 7 please,restaurant_reservation,train
can i have a table held at the outback steakhouse for johnson at 5,restaurant_reservation,train
is it possible to book a room at the taco bell for reavers at 3,restaurant_reservation,train
i'd like to set up a reservation for kibble at 4,restaurant_reservation,train
can i reserve a table for 2 at the olive garden at 8,restaurant_reservation,train
i want to reserve a table at 8 at long john silver's under the name freddie,restaurant_reservation,train
i want to have a table for 2 at the broadmore around 6,restaurant_reservation,train
i need an 8 o'clock reservation at pizza hut for the last name mercury,restaurant_reservation,train
"hey, i need to make a reservation for three at umi, six pm on february 30th",restaurant_reservation,train
"hello, i'd like a reservation for two at the olive garden at six tonight",restaurant_reservation,train
can you set me up for a reservation for five at outback steakhouse on february 28th at seven pm,restaurant_reservation,train
"i need a reservation for one at applebee's, four in the afternoon on march 3rd",restaurant_reservation,train
"please make a reservation for me: party of two, february 22nd at chili's, two in the afternoon",restaurant_reservation,train
i gotta make a reservation for 8 pm at red robin for 3,restaurant_reservation,train
can i make a reservation for 8 pm at red robin for 3,restaurant_reservation,train
please book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,train
i want you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,train
you have to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,train
please reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,train
i need you to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,train
reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,train
i want to make a reservation for 8 pm at red robin for 3,restaurant_reservation,train
you must reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,train
i think i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation,train
i need you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,train
go ahead and book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,train
i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation,train
book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,train
would you please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,train
i'd like a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,train
could you make reservations for 2 at olive garden for 5 pm today,restaurant_reservation,train
make a reservation at 5 pm today for 2 at olive garden,restaurant_reservation,train
please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,train
i need you to reserve a table for 6:00 pm for three at devon's seafood,restaurant_reservation,train
make a reservation for three at prime rib at 6:30 pm,restaurant_reservation,train
i would like a reservation for 6:30 pm at pietro's under the name david jones,restaurant_reservation,train
please reserve a table for two at rouge for 7:00 pm,restaurant_reservation,train
can you get me a table for two for 8:00 pm at parc,restaurant_reservation,train
i would like you to secure a 4:30 pm reservation for five people at morton's steakhouse,restaurant_reservation,train
"call and make a 5:45 pm reservation for jason rogers, table for four",restaurant_reservation,train
i need you to reserve at table for a party of four at devon's for 6:00 pm,restaurant_reservation,train
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue,restaurant_reservation,train
please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold,restaurant_reservation,train
